"mlb_name","bref_id","mlb_team_long","password"
"A.J. Burnett","burnea.01","Pittsburgh Pirates","tzhUDb8TB"
"A.J. Griffin","griffaj01","Texas Rangers","uKlgRt0HD"
"Aaron Blair","blairaa01","Atlanta Braves","yYCK5xdO"
"Aaron Harang","haranaa01","Philadelphia Phillies","2H0n32ho"
"Aaron Nola","nolaaa01","Philadelphia Phillies","vTiS4rfE"
"Adam Morgan","morgaad01","Philadelphia Phillies","c6GfIT5nFU"
"Adam Wainwright","wainwad01","St. Louis Cardinals","FcOn3459"
"Adrian Sampson","sampsad01","Texas Rangers","wl0Bm7b8B"
"Alec Asher","asheral01","Philadelphia Phillies","ZK3k7kP4"
"Alex Cobb","cobbal01","Tampa Bay Rays","bkc7GNSY"
"Alex Colome","colomal01","Tampa Bay Rays","D05p2K9u8o"
"Alex Reyes","reyesal02","St. Louis Cardinals","VjFCpNd2oT"
"Alex Sanabia","sanabal01","Arizona Diamondbacks","ziqcKz7MX"
"Alex White","whiteal01","Houston Astros","lv9HvyxAJP"
"Alex Wood","woodal02","Los Angeles Dodgers","ZSg4JLq7"
"Allen Webster","webstal01","Pittsburgh Pirates","wRgzn8PHN"
"Andrew Heaney","heanean01","Los Angeles Angels","9hENoWfqo"
"Andrew Werner","wernean01","Oakland Athletics","9gPsSfeiZ"
"Andy Oliver","olivean01","Philadelphia Phillies","5WUM8joj"
"Anibal Sanchez","sanchan01","Detroit Tigers","V2r2QJ8p1"
"Anthony DeSclafani","desclan01","Cincinnati Reds","ReID2AnT"
"Archie Bradley","bradlar01","Arizona Diamondbacks","qxa2RHEk"
"Barry Zito","zitoba01","Oakland Athletics","I3nOONyD"
"Bartolo Colon","colonba01","Atlanta Braves","gApRP9EYMr"
"Blake Snell","snellbl01","Tampa Bay Rays","6qGfnA2Ro"
"Brad Mills","millsbr02","Oakland Athletics","RULMnCo1"
"Brad Peacock","peacobr01","Houston Astros","sT5G3iH9"
"Brad Penny","pennybr01","Miami Marlins","8US0ryAmS1"
"Braden Shipley","shiplbr01","Arizona Diamondbacks","8UN9jmrleo"
"Brandon Beachy","beachbr01","Los Angeles Dodgers","KhVJmp78"
"Brandon Cumpton","cumptbr01","Pittsburgh Pirates","OJh4UmrJ"
"Brandon Finnegan","finnebr01","Cincinnati Reds","Gs2tpp7U"
"Brandon McCarthy","mccarbr01","Los Angeles Dodgers","bNPgteI1a"
"Brandon Morrow","morrobr01","San Diego Padres","ue3f9INc8"
"Brent Suter","suterbr01","Milwaukee Brewers","pR602pqLi6"
"Brett Anderson","anderbr04","Los Angeles Dodgers","W5P0KLOxu"
"Brian Flynn","flynnbr01","Kansas City Royals","3aiVmuiN"
"Brian Johnson","johnsbr02","Boston Red Sox","y4zzEbyVx"
"Brock Stewart","stewabr01","Los Angeles Dodgers","Z32D0ZCxmk"
"Bronson Arroyo","arroybr01","Los Angeles Dodgers","aMmBn0fno"
"C.J. Wilson","wilsocj01","Los Angeles Angels","fUz4RJLX"
"Carlos Rodon","rodonca01","Chicago White Sox","fGBa1e2Z"
"Carlos Zambrano","zambrca01","Miami Marlins","Dvy0NyC8"
"Casey Crosby","crosbca01","Detroit Tigers","e20cH6J4"
"CC Sabathia","sabatc.01","New York Yankees","CP1pOP8ex"
"Cesar Vargas","vargace01","San Diego Padres","hE5amaIJu"
"Chad Bettis","bettich01","Colorado Rockies","sMciCdxRA6"
"Chad Billingsley","billich01","Philadelphia Phillies","SVhJIxxQ29"
"Chad Kuhl","kuhlch01","Pittsburgh Pirates","zfpZ1WNks"
"Charlie Leesman","leesmch01","Chicago White Sox","DdP7rSuB"
"Charlie Morton","mortoch02","Houston Astros","KSu0RmJl"
"Chase Anderson","anderch01","Milwaukee Brewers","LhvS1spVV"
"Chase Whitley","whitlch01","Tampa Bay Rays","r7tUEazW"
"Chi Chi Gonzalez","gonzach01","Texas Rangers","MM19Xho0"
"Chris Archer","archech01","Tampa Bay Rays","ROfqq8fES"
"Chris Beck","beckch02","Chicago White Sox","TSc86yBur1"
"Chris Sale","salech01","Boston Red Sox","U2c801DgsC"
"Chris Schwinden","schwich01","New York Mets","0eZzw7xnVI"
"Chris Tillman","tillmch01","Baltimore Orioles","bVp2pviaug"
"Chris Young","youngch03","Kansas City Royals","UR9mJakD9"
"Clay Buchholz","buchhcl01","Philadelphia Phillies","lR8i9njAlb"
"Clayton Kershaw","kershcl01","Los Angeles Dodgers","eW0MiBl3"
"Cliff Lee","leecl02","Philadelphia Phillies","UYhn67r1O2"
"Cody Anderson","anderco01","Cleveland Indians","1TxaUnzOO"
"Cody Reed","reedco01","Cincinnati Reds","aFv1gX6l"
"Colby Lewis","lewisco01","Texas Rangers","Y8LnqQ0gYj"
"Cole Hamels","hamelco01","Texas Rangers","pcJgz17P3F"
"Colin Rea","reaco01","San Diego Padres","QRv8d3T5hB"
"Dallas Beeler","beeleda01","Chicago Cubs","XWX7xSOT"
"Dan Haren","harenda01","Chicago Cubs","W6F4U0yqy"
"Dan Straily","straida01","Cincinnati Reds","X0iW9uqw"
"Daniel Mengden","mengdda01","Oakland Athletics","T0yui9A4Dv"
"Daniel Wright","wrighda04","Los Angeles Angels","KXlaN97VI"
"Danny Salazar","salazda01","Cleveland Indians","FVgRBT1x"
"David Buchanan","buchada01","Philadelphia Phillies","u6pwjeyU7G"
"David Price","priceda01","Boston Red Sox","bcxTTN9psU"
"Derek Holland","hollade01","Chicago White Sox","eSoy83KAk"
"Doug Fister","fistedo01","Houston Astros","1sjwcSbDR"
"Drew Hutchison","hutchdr01","Pittsburgh Pirates","Q3izbwNAyE"
"Drew Smyly","smylydr01","Tampa Bay Rays","jTuTr0D4"
"Eddie Butler","butleed01","Colorado Rockies","eLSUipf2M"
"Eddie Gamboa","gamboed01","Tampa Bay Rays","8qXmRUxY"
"Edinson Volquez","volqued01","Miami Marlins","cO2bjSnO"
"Eduardo Rodriguez","rodried05","Boston Red Sox","dVd3MZtX"
"Edwar Cabrera","cabreed01","Texas Rangers","ApZ0hdXs"
"Eric Stults","stulter01","Los Angeles Dodgers","ME74qjWRk"
"Erik Johnson","johnser04","San Diego Padres","X4bt5LpuuG"
"Ervin Santana","santaer01","Minnesota Twins","Ud4ivmn1s"
"Felix Doubront","doubrfe01","Oakland Athletics","6m7JE0h8"
"Felix Hernandez","hernafe02","Seattle Mariners","clc8vsYa5w"
"Francisco Liriano","liriafr01","Toronto Blue Jays","I53QHGcVL5"
"Freddy Garcia","garcifr03","Atlanta Braves","1jzURRic"
"Gavin Floyd","floydga01","Toronto Blue Jays","Y46fvPa7XR"
"Gerrit Cole","colege01","Pittsburgh Pirates","7odziFwA6"
"Gio Gonzalez","gonzagi01","Washington Nationals","qykcyp2S"
"Graham Godfrey","godfrgr01","Oakland Athletics","xqJJF0MD8R"
"Hector Noesi","noesihe01","Chicago White Sox","RpZ9LVlmIh"
"Hector Santiago","santihe01","Minnesota Twins","SeQbAk5dq"
"Henderson Alvarez","alvarhe01","Oakland Athletics","IC1ou5DTF"
"Henry Owens","owenshe02","Boston Red Sox","SRrui310g"
"Hiram Burgos","burgohi01","Milwaukee Brewers","WY019ti0"
"Hiroki Kuroda","kurodhi01","New York Yankees","hzVEZ0dd"
"Homer Bailey","baileho02","Cincinnati Reds","ZUO5Rqfx"
"Hyun-Jin Ryu","ryuhy01","Los Angeles Dodgers","zfXA1mqZ"
"Ian Kennedy","kenneia01","Kansas City Royals","2KhNALlv"
"Ivan Nova","novaiv01","Pittsburgh Pirates","OxJ4WzAG"
"Jacob deGrom","degroja01","New York Mets","rwAM1Haj"
"Jacob Turner","turneja01","Chicago White Sox","Cp2U281TF"
"Jaime Garcia","garcija02","Atlanta Braves","I6rAMzS2R0"
"Jair Jurrjens","jurrjja01","Colorado Rockies","9ZiNNSyUxt"
"Jake Arrieta","arrieja01","Chicago Cubs","YfCR5E77"
"Jake Esch","eschja01","Miami Marlins","cPgMO0bO"
"Jake Odorizzi","odorija01","Tampa Bay Rays","BcDKX4yjIz"
"Jake Peavy","peavyja01","San Francisco Giants","lb8at5Ey"
"Jake Thompson","thompja03","Philadelphia Phillies","wL3O8oOmc2"
"James McDonald","mcdonja03","Chicago Cubs","bhddt3WJ0"
"James Shields","shielja02","Chicago White Sox","5lZg3bq1Xz"
"Jameson Taillon","taillja01","Pittsburgh Pirates","sT2OIomM"
"Jarred Cosart","cosarja01","San Diego Padres","a8YQMg1c"
"Jarrod Parker","parkeja02","Oakland Athletics","8EWOSa91"
"Jason Hammel","hammeja01","Chicago Cubs","Te6IqkR47"
"Jason Marquis","marquja01","Cincinnati Reds","heN8kIYhPe"
"Jeff Hoffman","hoffmje02","Colorado Rockies","S0WdlZa1"
"Jeff Locke","lockeje01","Miami Marlins","PA4txlyJ"
"Jerad Eickhoff","eickhje01","Philadelphia Phillies","i2cr1C2LU"
"Jered Weaver","weaveje02","Los Angeles Angels","sn400jRx"
"Jeremy Guthrie","guthrje01","Texas Rangers","QdPvOkX8"
"Jeremy Hefner","hefneje01","New York Mets","5t3cHJ7I8T"
"Jeremy Hellickson","hellije01","Philadelphia Phillies","dv9xVyqv"
"Jesse Hahn","hahnje01","Oakland Athletics","vt5Qn2LfN"
"Jhoulys Chacin","chacijh01","San Diego Padres","dZe7ZNAVMV"
"Jimmy Nelson","nelsoji02","Milwaukee Brewers","OYf1iY1A"
"Joe Ross","rossjo01","Washington Nationals","QRy9yqcL"
"Joe Saunders","saundjo01","Baltimore Orioles","qxMeJ8fg4"
"Joe Wieland","wielajo01","Atlanta Braves","hpWF7ncgS"
"Johan Santana","santajo02","Baltimore Orioles","x8Rrk9Ao"
"John Danks","danksjo01","Chicago White Sox","Uqt99sWS"
"John Gast","gastjo01","St. Louis Cardinals","0yrzbuIXw"
"John Lackey","lackejo01","Chicago Cubs","9G8RxGA8"
"John Lamb","lambjo02","Tampa Bay Rays","A8pU553rW"
"Johnny Cueto","cuetojo01","San Francisco Giants","k5nM5C8Fu"
"Johnny Hellweg","hellwjo01","Milwaukee Brewers","JrlEjy2P9"
"Jon Gray","grayjo02","Colorado Rockies","DzYt13VSm4"
"Jon Lester","lestejo01","Chicago Cubs","7zAnbbtQm"
"Jon Moscot","moscojo01","Cincinnati Reds","bKqlV1ll"
"Jon Niese","niesejo01","New York Mets","nIn54aOug"
"Jonathan Pettibone","pettijo02","Philadelphia Phillies","Hna93jsT"
"Jonathan Sanchez","sanchjo01","Cincinnati Reds","mkSIuTY4AH"
"Jordan Lyles","lylesjo01","Colorado Rockies","vWC2cC9o"
"Jordan Zimmermann","zimmejo02","Detroit Tigers","7TmegKqysu"
"Jorge De La Rosa","rosajo01","Colorado Rockies","Beb1SgJzB"
"Jose Berrios","berrijo01","Minnesota Twins","2YXUDoyHL"
"Jose De Leon","deleojo03","Los Angeles Dodgers","F2V9mfeX62"
"Jose Fernandez","fernajo02","Miami Marlins","xggPYrb0v8"
"Jose Urena","urenajo01","Miami Marlins","dApg2uuu"
"Josh Beckett","beckejo02","Los Angeles Dodgers","JhC7gazzAw"
"Josh Collmenter","collmjo01","Atlanta Braves","qj6p38Y6"
"Josh Johnson","johnsjo09","San Diego Padres","Ay1GCa2H"
"Josh Smith","smithjo07","Oakland Athletics","WP0HPhr5Z"
"Josh Tomlin","tomlijo01","Cleveland Indians","RgH8GOn79"
"Julio Teheran","teherju01","Atlanta Braves","NUluEp2S4e"
"Julio Urias","uriasju01","Los Angeles Dodgers","yBakwxZn6"
"Justin Masterson","masteju01","Boston Red Sox","RYtgNvF0j"
"Justin Nicolino","nicolju01","Miami Marlins","wjE3r3Cd"
"Justin Verlander","verlaju01","Detroit Tigers","oovNaB5f38"
"Kendall Graveman","graveke01","Oakland Athletics","rX9Us9Yk"
"Kenta Maeda","maedake01","Los Angeles Dodgers","0FA7HxiA"
"Kevin Correia","correke01","Philadelphia Phillies","rdhF5WgMH1"
"Keyvius Sampson","sampske01","Cincinnati Reds","ONf2Dt7Jdb"
"Kris Johnson","johnskr01","Minnesota Twins","n6HDekgnvK"
"Kyle Gibson","gibsoky01","Minnesota Twins","id8BU4JNJi"
"Kyle Hendricks","hendrky01","Chicago Cubs","yMt8g1AZC"
"Kyle Kendrick","kendrky01","Atlanta Braves","oAOJb5aB"
"Kyle Lohse","lohseky01","Texas Rangers","NZcG1E38"
"Lance Lynn","lynnla01","St. Louis Cardinals","g2nWntC9"
"Lance McCullers","mcculla02","Houston Astros","65UKICCy6"
"Lucas Giolito","giolilu01","Chicago White Sox","ttZ4vWiX"
"Lucas Harrell","harrelu01","Texas Rangers","AsEHMNo0"
"Luis Severino","severlu01","New York Yankees","FSo5h2O0dk"
"Luke Weaver","weavelu01","St. Louis Cardinals","mi7DqEsiP"
"Madison Bumgarner","bumgama01","San Francisco Giants","xt3VWwJW"
"Manny Banuelos","banuema01","Atlanta Braves","7qfoLcICw"
"Marco Gonzales","gonzama02","St. Louis Cardinals","nc1oGlGv5Z"
"Marcus Stroman","stromma01","Toronto Blue Jays","X70hU7HADH"
"Mark Buehrle","buehrma01","Toronto Blue Jays","CvUj3wfgAx"
"Mark Rogers","rogerma01","Texas Rangers","BGwAt4MsF"
"Masahiro Tanaka","tanakma01","New York Yankees","LuBxlDlB2"
"Mat Latos","latosma01","Washington Nationals","reYCnOn9N"
"Matt Boyd","boydma01","Detroit Tigers","wAkt70uCrh"
"Matt Cain","cainma01","San Francisco Giants","znFs9B2toi"
"Matt Garza","garzama01","Milwaukee Brewers","KeWv2VJfl"
"Matt Harvey","harvema01","New York Mets","TS02uxq6O"
"Matt Magill","magilma01","Cincinnati Reds","aby1ytzUZo"
"Matt Moore","moorema02","San Francisco Giants","Pj6xo07SFt"
"Matt Shoemaker","shoemma01","Los Angeles Angels","pP9q52X70C"
"Matt Wisler","wislema01","Atlanta Braves","8PXYmKg2yr"
"Max Scherzer","scherma01","Washington Nationals","egSAOCR7u"
"Michael Fulmer","fulmemi01","Detroit Tigers","qxAhA5CZQI"
"Michael Lorenzen","lorenmi01","Cincinnati Reds","uiuYkHtj7"
"Michael Pineda","pinedmi01","New York Yankees","24NheQ9IVu"
"Michael Wacha","wachami01","St. Louis Cardinals","xniQkzS00l"
"Mike Clevinger","clevimi01","Cleveland Indians","SHNg3GYPY"
"Mike Foltynewicz","foltymi01","Atlanta Braves","d98xUiMtE"
"Mike Leake","leakemi01","St. Louis Cardinals","2Tp68wxcAb"
"Mike Mayers","mayermi01","St. Louis Cardinals","JDOrw8rn"
"Mike Minor","minormi01","Kansas City Royals","hhQjsBEvO2"
"Mike Pelfrey","pelfrmi01","Detroit Tigers","L43Ykxki1r"
"Mike Wright","wrighmi01","Baltimore Orioles","I26lcCPk"
"Miles Mikolas","mikolmi01","Texas Rangers","YOWIpv7uuu"
"Nathan Eovaldi","eovalna01","New York Yankees","2ORiszf0"
"Nathan Karns","karnsna01","Kansas City Royals","6Xi7dltvSw"
"Nick Tepesch","tepesni01","Kansas City Royals","4or5vXdOh"
"Nick Tropeano","tropeni01","Los Angeles Angels","DEjzfpae8x"
"Noah Syndergaard","syndeno01","New York Mets","Pc0iAOa3"
"Odrisamer Despaigne","despaod01","Miami Marlins","8pJOApk3AX"
"Patrick Corbin","corbipa01","Arizona Diamondbacks","FhLXEs89DU"
"Pedro Hernandez","hernape02","Colorado Rockies","ICjaqyW7"
"Phil Hughes","hugheph01","Minnesota Twins","G41bxLPxtw"
"Phil Irwin","irwinph01","Texas Rangers","YtKLlmO8Q"
"Philip Humber","humbeph01","Houston Astros","J0R6RH5HMq"
"R.A. Dickey","dicker.01","Atlanta Braves","Z2movQgVI"
"Raisel Iglesias","iglesra01","Cincinnati Reds","6LInNBj8"
"Randy Wolf","wolfra02","Detroit Tigers","y5oXApe2a"
"Raul Alcantara","alcanra01","Oakland Athletics","oqh7337I"
"Red Patterson","pattere02","Los Angeles Dodgers","1OT3frMb6M"
"Reynaldo Lopez","lopezre01","Chicago White Sox","uVO8pB7jS"
"Rick Porcello","porceri01","Boston Red Sox","O0bYc3pQ"
"Ricky Nolasco","nolasri01","Los Angeles Angels","jiNyLSpt4"
"Ricky Romero","romerri01","Toronto Blue Jays","SQwCYP7bI4"
"Rob Whalen","whalero01","Seattle Mariners","DE4TIzVY"
"Robbie Erlin","erlinro01","San Diego Padres","7PCYLhNT"
"Robbie Ray","rayro02","Arizona Diamondbacks","aj9sUxJt4"
"Robert Stephenson","stephro01","Cincinnati Reds","KaLHF9IU"
"Roberto Hernandez","carmofa01","Atlanta Braves","YYKYIOs2u"
"Roenis Elias","eliasro01","Boston Red Sox","WvNB6qUd9"
"Ross Stripling","stripro01","Los Angeles Dodgers","MEZVgg28S"
"Rubby De La Rosa","delarru01","Arizona Diamondbacks","2lCNyuyl"
"Rudy Owens","owensru01","Houston Astros","6f9qOwk8"
"Ryan Verdugo","verdury01","Kansas City Royals","HJLM5zNpwg"
"Ryan Vogelsong","vogelry01","Pittsburgh Pirates","h7XLLCzUSY"
"Ryan Weber","weberry01","Seattle Mariners","d88o4Gy9"
"Scott Diamond","diamosc01","Toronto Blue Jays","fVtWN5Gy"
"Scott Kazmir","kazmisc01","Los Angeles Dodgers","NPfX0Rfr"
"Sean Manaea","manaese01","Oakland Athletics","m5MxCtmm"
"Sean Nolin","nolinse01","Milwaukee Brewers","aiFirX8p"
"Sean O'Sullivan","osullse01","Boston Red Sox","6CzREagd7D"
"Severino Gonzalez","gonzase01","Philadelphia Phillies","MkywFEtK5"
"Shawn Hill","hillsh01","Toronto Blue Jays","E1qb8YgY"
"Shelby Miller","millesh01","Arizona Diamondbacks","kAF8oamyV"
"Stephen Fife","fifest01","Los Angeles Dodgers","jJQ7eG1n"
"Stephen Strasburg","strasst01","Washington Nationals","lK5Acupc16"
"Steve Johnson","johnsst02","Seattle Mariners","31uM0vBNGN"
"Steven Brault","braulst01","Pittsburgh Pirates","OD0K5n0HJ"
"Steven Matz","matzst01","New York Mets","7n6AKeeN"
"Taijuan Walker","walketa01","Arizona Diamondbacks","EV5Dhs1q3"
